 Wando
Shakira featuring Wyclef Jean
JoJo
Nelly Furtado
The Pussycat Dolls featuring Snoop Dogg
Marina Elali
 Maroon5
Babado Novo
Ana Carolina
Vanessa Hudgens
The Fray
Snow Patrol
Bruno & Marrone com Edson & Hudson
Linkin Park
 RBD
 Juanes
Paula Toller
Maria Rita
Wanessa Camrgo
Chris Brown featuring Lil Wayne
Marjorie Estiano
Fall Out Boys
Evanescence
Grupo Revelação
Gwen Stefani
Baby Boy Da Prince featuring Lil Boosie
Perlla
 Joss Stone featuring Common
Timbaland featuring Keri Hilson
DBlack (Independente)
Joss Stone
Sandy & Junior
  The Pussycat Dolls & Busta Rhymes
  Ana Carolina & Seu Jorge
  Edu Ribeiro & Cativeiro
  Shakira e Wyclef Jean  
MC Leozinho
KLB
RBD
Sampa Crew
Roberto Carlos & Chitãozinho & Xororó
Red Hot Chili Peppers
Nelly Furtado & Timbaland
Nickelback
Alcione
Green Day
The Pussycat Dolls & Snoop Dogg
Beyoncé & Slim Thug
K-Sis
Leonardo & Zeca Pagodinho
 Edson & Hudson & Kenny Rogers
 Marisa Monte
Gnarls Barkley
Barão Vermelho & Cazuza
Sean Paul
Jack Johnson
Banda Babado Novo
Chitãozinho & Xororó
Hateen
Leandro
Nando Reis & Os Infernais
Luxúria
Luka
Titãs
Missy Elliott & Ciara & Fat Man Scoop
Banda Calypso
  Zezé Di Camargo & Luciano
Cabal & Lailah Moreno
Hilary Duff
AfroReggae
Fort Minor
  Usher & Alicia Keys
  Bruno & Marrone    
  Green Day  
  Bruno & Marrone  
  Marjorie Estiano
  Zezé Di Camargo & Luciano ft Antonio Marcos
  CPM 22
  Akon
Zeca Pagodinho
Ivete Sangalo & Gilberto Gil
Latino
Babado Novo  
CPM 22    
50 Cent ft Olivia
Jay-Z/Linkin Park
Maroon5
Bruno & Marrone  
Ivo Pessoa
Levada Louca & Belo ou Belo & Paulinha
Kid Abelha
  KT Tunstall
Rapazolla
Daniel (Continental)
Motirô (Hum Batuque)
Christina Aguilera ft Missy Elliott
Bokaloka
Chiclete com Banana
 Hugo & Thiago
Rouge
Rick & Renner
Banda Eva ft Ivete Sangalo
Zezé Di Camargo & Luciano  
Fábio Jr.  
Alexandre Pires
Daddy Yankee
Marlon & Maicon ft Robin Gibb
Tiziano Ferro ft Liah
Barão Vermelho ft Cazuza
Kelly Key
Ana Carolina  
Leonardo  
Alexandre Pires ft Fat Family
Ira! ft Pitty
Destinys Child
U2
Eminem
Cidade Negra
Engenheiros do Hawaii
Missy Elliott ft Ciara & Fat Man Scoop
Bruno & Marrone ft Joelma/Banda Calypso
Shakira ft Alejandro Sanz
Tragedie
 Kelly Key
Ciara 
  OutKast 
